10031686	"1 JUN 24  00:00:00.00"	401007533	"INSTITUTO DE ONCOLOGIA DR. HERIBERTO PIETER"	94.40	"8218"
10031687	"1 JUN 24  00:00:00.00"	401007525	"CUERPO DE BOMBEROS STO. DGO,D.N"	2596.00	"222"
10031688	"1 JUN 24  00:00:00.00"	401007525	"CUERPO DE BOMBEROS STO. DGO,D.N"	2596.00	"223"
10031689	"1 JUN 24  00:00:00.00"	131247581	"CONGELADOS INTERNACIONALES, SRL"	106.20	"8219"
10031690	"1 JUN 24  00:00:00.00"	130922039	"CONSTHERA"	106.20	"8220"
10031691	"1 JUN 24  00:00:00.00"	101154225	"IMTOMOCA"	531.00	"8221"
10031692	"1 JUN 24  00:00:00.00"	401007533	"INSTITUTO DE ONCOLOGIA DR. HERIBERTO PIETER"	94.40	"8222"
10031693	"1 JUN 24  00:00:00.00"	401007533	"INSTITUTO DE ONCOLOGIA DR. HERIBERTO PIETER"	94.40	"8223"
10031694	"1 JUN 24  00:00:00.00"	401007525	"CUERPO DE BOMBEROS STO. DGO,D.N"	1298.00	"224"
10031695	"1 JUN 24  00:00:00.00"	401007525	"CUERPO DE BOMBEROS STO. DGO,D.N"	3894.00	"225"
10031696	"1 JUN 24  00:00:00.00"	124022886	"SERVIPORT"	118.00	"8224"
10031697	"1 JUN 24  00:00:00.00"	401007533	"INSTITUTO DE ONCOLOGIA DR. HERIBERTO PIETER"	94.40	"8225"
10031698	"1 JUN 24  00:00:00.00"	101855622	"SOLES, SRL"	118.00	"8226"
10031699	"3 JUN 24  00:00:00.00"	101729295	"PEÑA RODRIGUEZ & ASOCIADOS"	21938.75	"8227"
10031700	"3 JUN 24  00:00:00.00"	131198295	"ACCUMED"	78175.00	"73"
10031701	"3 JUN 24  00:00:00.00"	101149868	"CLINICA CRUZ JIMINIAN"	94.40	"8228"
10031702	"3 JUN 24  00:00:00.00"	122001069	"GREEN SERVICE TOURS"	94.40	"8229"
10031703	"3 JUN 24  00:00:00.00"	130265941	"NIELSEN DOMINICANA"	118.00	"8230"
10031704	"3 JUN 24  00:00:00.00"	101812761	"EDESSA"	389.40	"8231"
10031705	"3 JUN 24  00:00:00.00"	130119643	"CODIRECTA"	259.60	"8232"
10031706	"3 JUN 24  00:00:00.00"	401007533	"INSTITUTO DE ONCOLOGIA DR. HERIBERTO PIETER"	94.40	"8233"
10031707	"3 JUN 24  00:00:00.00"	101008849	"AJFA,  S.A.S"	118.00	"8234"
10031708	"3 JUN 24  00:00:00.00"	101611448	"COMERCIAL FILA"	212.40	"8235"
